protein_annotation	regex_label	manual_label	note
Portal protein (Gene product 20) (gp20)	proper	proper	
N-acetylmuramoyl-L-alanine amidase domain-containing protein	proper	proper	
N-formylmethionyl-tRNA deformylase	proper	proper	
F-box/kelch-repeat protein At1g16250 isoform X1	proper	proper	
Putative antirepressor protein	proper	proper	
Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	proper	proper	
Cupin 2, conserved barrel	proper	proper	
Head tail connector protein	proper	proper	
ARP protein (REF)	proper	proper	
Uncharacterized protein HI_1412	uninformative	uninformative	
PPCS	proper	proper	
60 kDa heat shock protein, mitochondrial (Trinotate prediction)	proper	proper	
N-acetyl-anhydromuramyl-L-alanine amidase AmpD	proper	proper	
Putative group 1 glycosyl transferase	proper	proper	
PF12686 family protein	proper	low	
FixH protein	proper	proper	
Probable deoxycytidylate deaminase (inferred by orthology to a C. elegans protein)	proper	proper	
6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase 3	proper	proper	
DUF2214 family protein	low informative	low	
vWA found in TerF C terminus domain-containing protein	proper	proper	
DNA repair protein rad5	proper	proper	
DUF4037 domain-containing protein	low informative	low	
Oxidoreductase short chain dehydrogenase/reductase family protein	proper	proper	
Helicase/UvrB N-terminal domain-containing protein	proper	proper	
DNA polymerase II large subunit (Pol II) (EC 2.7.7.7) (Exodeoxyribonuclease large subunit) (EC 3.1.11.1) [Cleaved into: Pho polC intein (Pho pol II intein)]	proper	proper	
Phage transposase	proper	proper	
DCD (Development and Cell Death) domain protein	proper	proper	
DUF2087 domain-containing protein	low informative	low	
Lymphoid-specific helicase-like protein	proper	proper	
DUF2808 domain-containing protein	low informative	low	
DUF3303 domain-containing protein	low informative	low	
Tubulin gamma-1 chain	proper	proper	
SmpA/OmlA	proper	proper	
Putative cI prophage repressor protein	proper	proper	
Serine/threonine specific protein phosphatase (EC 3.1.3.16)	proper	proper	
Uncharacterized protein LOC113506337 isoform X2	proper	uninformative	
Protein of uncharacterized function (DUF3800)	low informative	low	
Prophage CP4-like integrase	proper	proper	
Wadjet protein JetD C-terminal domain-containing protein	proper	proper	
Aspartyl-tRNA amidotransferase subunit B	proper	proper	
HGL155Cp	proper	proper	
Metal-dependent enzyme (Double-stranded beta helix superfamily)	proper	proper	
Calcium-dependent cysteine protease	proper	proper	
Glucose-1-phosphate thymidylyltransferase (Glc-1-P thymidylyltransferase) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)	proper	proper	
Pre-mRNA splicing helicase-like protein	proper	proper	
B30.2/SPRY domain-containing protein	proper	proper	
U8 snoRNA-decapping enzyme (EC 3.6.1.62) (IDP phosphatase) (IDPase) (EC 3.6.1.64) (Inosine diphosphate phosphatase) (Nucleoside diphosphate-linked moiety X motif 16) (Nudix motif 16) (Nudix hydrolase 16) (U8 snoRNA-binding protein H29K) (m7GpppN-mRNA hydrolase)	proper	proper	
anthranilate synthase (EC 4.1.3.27)	proper	proper	
Cyclopropane-fatty-acyl-phospholipid synthase	proper	proper	
Paclitaxel/taxanoid biosynthesis susceptibility protein TS1	proper	proper	
Type VI secretion protein ImpA	proper	proper	
Highly reducing polyketide synthase gloL	proper	proper	
Uncharacterized protein L728	uninformative	uninformative	
Homolog to phage protein T7-7.7	proper	proper	
TrwC protein	proper	proper	
Orf301 protein	uninformative	uninformative	
HTH luxR-type domain-containing protein	proper	proper	
Similar to Probable mitochondrial chaperone BCS1-B acc. no. Q54DY9	proper	proper	
Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	proper	proper	
Kel	proper	proper	
Lysophospholipase L1 and related esterases	proper	proper	
Mlr6561 protein	proper	uninformative	
Putative capsid protein	proper	proper	
Gentamicin 3'-N-acetyltransferase	proper	proper	
Benzene 1,2-dioxygenase system ferredoxin--NAD(+) reductase subunit (EC 1.18.1.3)	proper	proper	
CHC2 zinc finger	proper	proper	
UPF0200 protein DRO36_07290	proper	low	
BH2331 protein	proper	proper	
L-threonyl-[L-threonyl-carrier protein] 4-chlorinase (EC 1.14.20.15) (Non-haem iron halogenase SyrB2) (Syringomycin biosynthesis enzyme 2) (Syringomycin synthase SyrB2)	proper	proper	
Endopeptidase nlpc/p60 domain	proper	proper	
Putative prophage capsid protein YqbE	proper	proper	
RIO-type serine/threonine-protein kinase Rio2 (AfRio2) (EC 2.7.11.1)	proper	proper	
PrfA protein	proper	proper	
Uncharacterized protein LOC113202783 isoform X2	proper	uninformative	
Chaperonin CPN60-like 2, mitochondrial	proper	proper	
Pyruvate formate-lyase 1-activating enzyme (EC 1.97.1.4)	proper	proper	
cDNA FLJ52974, highly similar to Neural cell adhesion molecule 1, 140 kDa isoform	proper	proper	
Transcriptional regulator, AbiEi antitoxin, Type IV TA system	proper	proper	
Related to SCJ1 protein	proper	proper	
HAG group protein	proper	proper	
Band 7/Mec-2 family protein	proper	proper	
Probable peptide chain release factor C12orf65 homolog, mitochondrial	proper	proper	
Glucose-fructose oxidoreductase (EC 1.1.99.28)	proper	proper	
Sialidase B (EC 3.2.1.18) (Neuraminidase B)	proper	proper	
HTH/peptidase S24 domain protein	proper	proper	
F5/8 type C domain-containing protein	proper	proper	
Guanosine polyphosphate synthetase/pyrophosphohydrolase (EC 2.7.6.5)	proper	proper	
ATP-dependent DNA helicase (EC 3.1.21.3)	proper	proper	
Sodium/hydrogen exchanger 1 (DdNHE1) (NHE1) (Na-H exchanger 1)	proper	proper	
SYT1 protein	proper	proper	
Spore cortex-lytic enzyme prepeptide	proper	proper	
6-phosphogluconolactonase Pgl (EC 3.1.1.31)	proper	proper	
Probable tail fiber protein	proper	proper	
DNA ligase N terminal domain family	proper	proper	
Phage terminase, large subunit	proper	proper	
Peptide/polyketide synthase (EC 2.3.1.41)	proper	proper	
Mitochondrial translation release factor in rescue isoform X1	proper	proper	
Leucine-zipper-like transcriptional regulator 1	proper	proper	
CDC48/VCP like protein, AAA superfamily	proper	proper	
DUF3310 domain-containing protein	low informative	low	
Host specificity protein J, internal	proper	proper	
Phage tail protein	proper	proper	
chitinase (EC 3.2.1.14)	proper	proper	
DUF1349 domain-containing protein	low informative	low	
Phage tail-collar fibre protein	proper	proper	
Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit) (PfuRFC small subunit) [Cleaved into: Pfu RFC intein]	proper	proper	
Ubiquitin-like protease family profile domain-containing protein	proper	proper	
Phage-associated pro	proper	uninformative	
Calcium-activated potassium channel subunit beta-3	proper	proper	
Cell division-associated, ATP-dependent zinc metalloprotease FtsH	proper	proper	
DUF1904 family protein	low informative	low	
Probable pyridine nucleotide-disulfide oxidoreductase RclA (Reactive chlorine resistance protein A)	proper	proper	
Pyridine nucleotide-disulfide oxidoreductase	proper	proper	
Membrane protein containing Lipase, GDSL domain protein (EC 3.-.-.-)	proper	proper	
Complement C1q-like protein 3 (C1q and tumor necrosis factor-related protein 13) (C1q/TNF-related protein 13) (CTRP13) (Gliacolin)	proper	proper	
ECF RNA polymerase sigma factor SigW	proper	proper	
NUC	proper	proper	
HflC membrane associated protease	proper	proper	
Terminase family protein	proper	proper	
(wild Malaysian banana) hypothetical protein	uninformative	uninformative	
DUF2185 domain-containing protein	low informative	low	
IstB-like ATP-binding domain-containing protein	proper	proper	
Probable thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	proper	proper	
Preprotein translocase	proper	proper	
ATP-dependent DNA helicase Rep (EC 5.6.2.4) (DNA 3'-5' helicase Rep)	proper	proper	
Polynucleotide kinase polynucleotide ligase	proper	proper	
NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (NAD(P)H quinone reductase) (NAD(P)H: menadione oxidoreductase) (NADH-menadione reductase)	proper	proper	
RngB protein	proper	proper	
DNA segregation protein	proper	proper	
DUF541 domain-containing protein	low informative	low	
VTT domain-containing protein	proper	proper	
Colicin D C-terminal domain-containing protein	proper	proper	
Toprim domain protein (EC 2.7.7.-)	proper	proper	
Prepilin-type cleavage/methylation domain-containing protein	proper	proper	
Sepiapterin reductase (SPR) (cSR) (EC 1.1.1.325)	proper	proper	
Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.100)	proper	proper	
Putative toxin-antitoxin system, antitoxin component, HicB family	proper	proper	
BclA protein	proper	proper	
Aspartyl/asparaginyl beta-hydroxylase isoform X2	proper	proper	
Invasin domain-containing protein	proper	proper	
Recomb_XerD: tyrosine recombinase	proper	proper	
Gene Transfer Agent protein	proper	uninformative	
Chromosome segregation protein SMC	proper	proper	
N-alpha-acetyltransferase 10	proper	proper	
SWI/SNF family helicase	proper	proper	
O-acetyl-ADP-ribose deacetylase MACROD2 isoform X2	proper	proper	
CPXV215	proper	proper	in the training data, I labeled this as uninformative, but there is functional information in UniProt under this name
Twinkle-like protein, chloroplastic/mitochondrial	proper	proper	
Secretin GspD 2 (General secretion pathway protein D 2) (GspD) (GspD-beta secretin) (Type II secretion system protein D 2) (T2SS protein D)	proper	proper	
Major tail protein putative	proper	proper	
Carboxy-S-adenosyl-L-methionine synthase (Cx-SAM synthase) (EC 2.1.3.-)	proper	proper	
Putative SNF2 family helicase/ATPase PasG	proper	proper	
Eha	proper	uninformative	
SNF2 family helicase/ATPase	proper	proper	
Extracytoplasmic sigma factor EcfR	proper	proper	
UCK2 protein	proper	proper	
Aminoacyl-tRNA editing protein	proper	proper	
Hsp90 chaperone protein kinase-targeting subunit	proper	proper	
COG4695 Phage-related protein	proper	low	
"Multifunctional fusion protein [Includes: Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART); Ribonuclease H (RNase H) (EC 3.1.26.4)]"	proper	proper	
NADP-dependent mannitol dehydrogenase (MtDH) (EC 1.1.1.138) (Mannitol 2-dehydrogenase [NADP(+)]) (allergen Cla h 8)	proper	proper	
Coadhesin	proper	proper	
Uncharacterized protein LOC111470645	uninformative	uninformative	
Probable chromosome-partitioning protein ParB	proper	proper	
3-oxoacyl-[acyl-carrier-protein] reductase FabG1 (EC 1.1.1.100)	proper	proper	
Proteasome beta subunit	proper	proper	
Glucosaminidase domain-containing protein	proper	proper	
DNA binding	proper	proper	
Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)	proper	proper	
Chloramphenicol resistance protein	proper	proper	
Esterase, SGNH hydrolase-type	proper	proper	
Putative oxalate decarboxylase	proper	proper	
Protein RecA (Recombinase A) [Cleaved into: Endonuclease PI-MtuI (EC 3.1.-.-) (Mtu RecA intein)]	proper	proper	
DnaJ-like subfamily B member 6-A	proper	proper	
FtsH protease regulator HflK	proper	proper	
Transcription elongation factor SPT5 homolog 1	proper	proper	
Putative N-acetyltransferase YjcF (EC 2.3.1.-)	proper	proper	
PF11863 family protein	proper	low	
Pavine N-methyltransferase (TfPavNMT) (EC 2.1.1.300)	proper	proper	
Putative bacteriophage lysis protein	proper	proper	
Phage-associated protein-like protein	proper	uninformative	
Metal-dependent phosphohydrolase, hd subdomain	proper	proper	
Phosphate-binding protein PstS (PBP)	proper	proper	
HTH-type transcriptional regulator ptxR, putative	proper	proper	
RNA polymerase sigma-70 region 2 domain-containing protein	proper	proper	
AAA+ ATPase domain-containing protein	proper	proper	
Kelch-like ECH-associated protein	proper	proper	
FH protein interacting protein FIP2 isoform X1	proper	proper	
Ferritin-like domain-containing protein	proper	proper	
Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	proper	proper	
Oxidoreductase family, NAD-binding Rossmann fold containing protein	proper	proper	
Thioester reductase (TE) domain-containing protein	proper	proper	
DUF2460 domain containing protein	low informative	low	
UvrD-like helicase C-terminal domain/AAA domain (EC 3.1.11.5)	proper	proper	
RlmN protein	proper	proper	
Appr-1-p processing domain protein	proper	proper	
Phage tail fibre repeat	proper	proper	
Band 7 protein CG42540-like Protein	proper	proper	
RNA ligase/AAA domain containing protein, putative	proper	proper	
PDZ domain (Also known as DHR or GLGF)	proper	proper	
Aaa+ family atpase	proper	proper	
Superfamily II DNA/RNA helicase, SNF2 family protein	proper	proper	
Cyclic phosphodiesterase (CPDase) (EC 3.1.4.37)	proper	proper	
Head maturation protease	proper	proper	
Immunoglobulin-binding protein EibD (Trimeric autotransporter adhesin EibD) (TAA EibD) (Type 5 secretion system autotransporter EibD)	proper	proper	
"Multifunctional fusion protein [Includes: Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase); Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)]"	proper	proper	
DNA-directed RNA polymerase subunit Rpo1N (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A')	proper	proper	
Helicase-related protein	proper	proper	
Lin1720 protein	uninformative	uninformative	
Non-ribosomal peptide synthetase	proper	proper	
DUF6562 domain-containing protein	low informative	low	
Mll0453 protein	proper	uninformative	
PhnO protein	proper	proper	
Macro domain-containing protein	proper	proper	
Uncultured bacterium extrachromosomal DNA RGI00189	proper	uninformative	
Bacteriophage mu tail sheath protein	proper	proper	
"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]"	proper	proper	
Aspartyl/asparaginyl beta-hydroxylase and related dioxygenases	proper	proper	
Glycerol operon regulatory protein	proper	proper	
LytR/CpsA/Psr regulator C-terminal domain-containing protein	proper	proper	
Helicase loader DnaI	proper	proper	
Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	proper	proper	
M15 family metallopeptidase	proper	proper	
DNA circularization protein	proper	proper	
Atp-dependent exodnase	proper	proper	
Phytanoyl-CoA dioxygenase	proper	proper	
Ribosomal RNA adenine methylase transferase	proper	proper	
Subtilisin family serine protease	proper	proper	
Putative DNA repair and recombination protein RAD54	proper	proper	
KLH12 protein	proper	proper	
PHD finger protein 20like	proper	proper	
Dihydropteridine reductase (EC 1.5.1.34) (Quinoid dihydropteridine reductase)	proper	proper	
Cupin 2 conserved barrel domain protein	proper	proper	
Putative alginate O-acetylase AlgJ (EC 2.3.1.-)	proper	proper	
Uncharacterized protein DUF1320	low informative	low	
GMP synthase [glutamine-hydrolyzing] (PfGMPS) (EC 6.3.5.2) (Glutamine amidotransferase) (Guanosine monophosphate synthetase)	proper	proper	
Sliding clamp (DNA polymerase accessory protein Gp45) (DNA polymerase clamp) (Gene product 45) (gp45)	proper	proper	
LamG domain-containing protein	proper	proper	
YkoY family integral membrane protein	proper	low	YkoY is uncharacterized, but membrane is information location
Ribonucleoside-diphosphate reductase subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase large subunit)	proper	proper	
T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin containing T-complex polypeptide 1 subunit 1)	proper	proper	
Putative ATPase/DNA-binding SARP family transcriptional activator	proper	proper	
Plasmid mobilization system relaxase	proper	proper	
Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)	proper	proper	
Holliday junction endonuclease	proper	proper	
Enterobacterial exodeoxyribonuclease VIII	proper	proper	
NUDIX hydrolase domain-like protein	proper	proper	
dTDP-4-dehydrorhamnose reductase	proper	proper	
NUDIX hydrolase	proper	proper	
Tail Fiber protein	proper	proper	
Saccharopine dehydrogenase	proper	proper	
Nitric oxide reductase activation protein NorQ	proper	proper	
Recombination protein NinB	proper	proper	
Adipocyte complement related protein-like protein of 30 kDa	proper	proper	
Chromosome undetermined scaffold_89, whole genome shotgun sequence	uninformative	uninformative	
Methylated-DNA-[protein]-cysteine S-methyltransferase DNA binding domain-containing protein	proper	proper	
DgyrCDS10442	proper	proper	
Oxytocin receptor (OT-R)	proper	proper	
Thymidylate synthase complementing protein	proper	proper	
ATP-dependent RecD2 DNA helicase (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecD2)	proper	proper	
DUF2184 domain-containing protein	low informative	low	
Prophage Lp3 protein 8, helicase	proper	proper	
F-box/kelch-repeat protein At1g80440-like	proper	proper	
Flagellar basal-body rod modification protein FlgD	proper	proper	
Terminase large subunit gp17-like C-terminal domain-containing protein	proper	proper	
Uncharacterized protein LOC107413982 isoform X5	proper	uninformative	
NADPH-dependent 7-cyano-7-deazaguanine reductase QueF (EC 1.7.1.13)	proper	proper	
DUF1640 domain-containing protein	low informative	low	
UvrB/UvrC motif-containing protein	proper	proper	
Sporulation protein RMD6 (Required for meiotic nuclear division protein 6)	proper	proper	
Amidase chry2 (EC 3.-.-.-) (Chrysogine biosynthesis cluster protein 2)	proper	proper	
Kelch like ECH associated protein 1	proper	proper	
Uncharacterized protein LOC108703276	uninformative	uninformative	
Translation initiation factor IF-1	proper	proper	
tRNA cytosine(34) acetyltransferase TmcA	proper	proper	
Ribonucleotide reductase of class II (Coenzyme B12-dependent) (EC 1.17.4.1)	proper	proper	
DNA-binding SARP family transcriptional activator	proper	proper	
ATP-dependent RNA helicase (EC 3.6.1.-)	proper	proper	
Phage virion morphogenesis protein	proper	proper	
tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)	proper	proper	
Short-chain dehydrogenase oxidoreductase	proper	proper	
RimJ/RimL family protein N-acetyltransferase	proper	proper	
C.smithii, mobile intron of apocytochrome b protein	proper	proper	debatable
Nucleotidyl transferase AbiEii/AbiGii toxin family protein	proper	proper	
Periplasmic protein: Putative periplasmic protein	proper	low	
Putative coat protein A of bacteriophage Pf1	proper	proper	
M6 family metalloprotease domain protein (EC 3.4.24.-)	proper	proper	
AAA+ ATPase domain	proper	proper	
ClpXP protease specificity-enhancing factor (SspB)	proper	proper	
Methyl-accepting chemotaxis protein McpB	proper	proper	
Alkylated DNA repair protein	proper	proper	
Exodeoxyribonuclease I (EC 3.1.11.1)	proper	proper	
Structural maintenance of chromosome protein	proper	proper	
Hsp20 family chaperone	proper	proper	
Highly reducing polyketide synthase ACRTS2 (HR-PKS ACRTS2) (EC 2.3.1.-) (ACR-toxin biosynthesis protein S2)	proper	proper	
Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	proper	proper	
PGF-pre-PGF domain-containing protein	proper	proper	
Bacteriophage Mu I family protein	proper	proper	in training data as uninformative, but can find function with this information
Methyl-accepting chemotaxis protein 4	proper	proper	
"Bifunctional AAC/APH [Includes: 6'-aminoglycoside N-acetyltransferase (EC 2.3.1.-) (AAC(6')); Aminoglycoside 2''-phosphotransferase (2''-aminoglycoside phosphotransferase) (EC 2.7.1.190) (APH(2''))]"	proper	proper	
NodB homology domain-containing protein	proper	proper	
Thymidylate synthase/dCMP hydroxymethylase	proper	proper	
Phosphopantothenoylcysteine synthase/decarboxylase	proper	proper	
DNA-binding bacteriophage protein	proper	proper	
DUF2169 domain-containing protein	low informative	low	
VWA domain-containing protein	proper	proper	
Endoglucanase	proper	proper	
Cell wall hydrolase (LysM peptidoglycan-binding domain-containing protein)	proper	proper	
Single-stranded DNA-binding protein	proper	proper	
Phosphoesterase or phosphohydrolase-like protein	proper	proper	
AAEL008591-PA	proper	proper	in the train data, I labeled this as uninformative, however there is functional information on UniProt for this protein
Bacteriophage restriction endonuclease	proper	proper	
HTH-type transcriptional repressor AllR (Negative regulator of allantoin and glyoxylate utilization operons)	proper	proper	
Putative phage repressor protein, putative phage associated protein	proper	proper	
CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Leukocyte mono-Ig-like receptor 3) (Myeloid-associated immunoglobulin-like receptor 5) (MAIR-5) (MAIR-V) (CD antigen CD300f)	proper	proper	
D-amino acid dehydrogenase 2 (EC 1.4.99.-)	proper	proper	
Cell wall hydrolase (Spore cortex-lytic enzyme)	proper	proper	
DNA repair protein RAD51 homolog	proper	proper	
Outer membrane protein assembly factor BamE	proper	proper	
SpoVK/Ycf46/Vps4 family AAA+-type ATPase	proper	proper	
Aculeacin A acylase, putative	proper	proper	
Head-tail preconnector protein	proper	proper	
Ig domain-containing protein group 2 domain-containing protein	proper	proper	
DEKNAAC100332	proper	proper	
Adenylate cyclase	proper	proper	
Host specificity factor TipJ family phage tail protein	proper	proper	
T4-like virus Myoviridae tail sheath stabiliser	proper	proper	
Mitochondroal chaperone, putative	proper	proper	
Nucleotide pyrophosphohydrolase	proper	proper	
Transposase-like Mu C-terminal domain-containing protein	proper	proper	
RNA polymerase Rpb1 domain-containing protein	proper	proper	
Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	proper	proper	
Exonuclease DNA polymerase III epsilon subunit family	proper	proper	
Putative Gp5	uninformative	uninformative	
DUF4314 domain-containing protein	low informative	low	
N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	proper	proper	
Alpha-1,3/4-fucosidase	proper	proper	
Possible methyltransferase	proper	proper	
Predicted SAM-depedendent methyltransferase	proper	proper	
Putative type II secretion system protein E	proper	proper	
Hypothetical phage-related protein	uninformative	uninformative	
Prophage LambdaSo, HK97 family portal protein	proper	proper	
SPI-1 type 3 secretion system stator protein (T3SS-1 stator protein) (Oxygen-regulated invasion protein OrgB)	proper	proper	
2-oxoglutarate and iron dependent oxygenase domain containing 2	proper	proper	
Transposase from transposon Tn916	proper	proper	
Transcription regulatory protein SNF2	proper	proper	
Putative n-acetyltransferase 6	proper	proper	
Ard1 family protein	proper	proper	
Bacteriophage lambda NinG family protein	proper	proper	
Malectin domain-containing protein	proper	proper	
MoxR protein	proper	proper	
Polysaccharide biosynthesis protein	proper	proper	
Secreted protein hcp	proper	proper	
DNA ligase 1 (EC 6.5.1.1) (DNA ligase I)	proper	proper	
DNA polymerase I (Type-4 uracil-DNA glycosylase)	proper	proper	
Defence against restriction A N-terminal domain-containing protein	proper	proper	
SLC9A8 protein	proper	proper	
Putative phage single-strand DNA binding protein	proper	proper	
Transcriptional regulator, Middle operon regulator (Mor) family	proper	proper	
Putative acetyltransferase, GNAT family	proper	proper	
Proteophosphoglycan ppg4	proper	proper	
O-antigen polysaccharide polymerase Wzy	proper	proper	
DNA (Cytosine-5)-methyltransferase 3B-like isoform X1	proper	proper	
Chaperone of endosialidase domain-containing protein	proper	proper	
Neurotoxin type A	proper	proper	
Hydrogenosomal chaperonin HSP60 (Protein Cpn60) (Heat shock protein 60) (groEL protein)	proper	proper	
Uncharacterized protein LOC108834657	uninformative	uninformative	
NEDD4-binding protein 2	proper	proper	
Bcs1 aaa-type	proper	proper	
Phage encoded DNA polymerase I (EC 2.7.7.7)	proper	proper	
Prophage 1773-type terminase large subunit	proper	proper	
Putative polysaccharide deacetylase YxkH	proper	proper	
Phage-related tail fibre protein-like protein	proper	proper	
Lin2262 protein	uninformative	proper	
F264	proper	proper	in the train data, I labeled this as uninformative, however there is functional information on UniProt for this protein
Peptidoglycan binding domain containing protein	proper	proper	
Putative glutamyl-tRNA amidotransferase	proper	proper	
Replication protein B	proper	proper	
Contig An08c0250, genomic contig	proper	uninformative	
Type I restriction enzyme R protein N terminus (HSDR_N)	proper	proper	
ANTAR domain-containing protein	proper	proper	
Fucosyltransferase (EC 2.4.1.-)	proper	proper	
Glucose-6-phosphate isomerase	proper	proper	
Putative LAGLIDADG 1 endonuclease	proper	proper	
Putative Acetyltransferase	proper	proper	
Sliding-clamp-loader small subunit (Clamp loader gp62 subunit) (Gene product 62) (gp62)	proper	proper	
Putative Integrase family protein	proper	proper	
Microbial-type PARG catalytic domain-containing protein	proper	proper	
DNA uptake Rossmann fold nucleotide-binding protein	proper	proper	
Type A von Willebrand factor domain-containing protein	proper	proper	
ATP-dependent zinc metalloprotease ftsh mitochondrial-like	proper	proper	
3-oxoacyl-[acyl-carrier-protein] reductase MabA (EC 1.1.1.100) (3-ketoacyl reductase) (3-ketoacyl-acyl carrier protein reductase) (Acetoacetyl-CoA reductase) (EC 1.1.1.36) (Beta-ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase) (Mycolic acid biosynthesis A)	proper	proper	
Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)	proper	proper	
G patch domain and KOW motifs-containing protein-like protein	proper	proper	
Putative phage tail region protein	proper	proper	
Kelch domain-containing protein SSO1033	proper	proper	
PEGA domain-containing protein	proper	uninformative	
Uncharacterized protein CHR8-2	proper	uninformative	
Carveol dehydrogenase ((+)-trans-carveol dehydrogenase) (EC 1.1.1.275)	proper	proper	
NH(3)-dependent NAD(+) synthetase (EC 6.3.5.1)	proper	proper	
Recombination protein MgsA	proper	proper	
TnpA	proper	proper	
Host specificity protein	proper	proper	
WGS project CABT00000000 data, contig 2.34	proper	uninformative	
DHH family protein	proper	proper	
Phage protein (N4 Gp49/phage Sf6 gene 66) family	proper	uninformative	
Thymidylate synthase 1 (TS 1) (TSase 1) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	proper	proper	
Transglycosylase family protein	proper	proper	
Prostaglandin reductase-3-like isoform X3	proper	proper	
ALK tyrosine kinase receptor	proper	proper	
Src64B protein	proper	proper	
Oxidase	proper	proper	
Putative signal peptide protein	proper	proper	
Secreted protein	low informative	low	
DnaJ homolog subfamily B member 11 (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3)	proper	proper	
Helix-turn-helix motif harboring protein of FIS regulatory family	proper	proper	
Crp/Fnr family transcriptional regulator	proper	proper	
Endodeoxyribonuclease RusA (EC 3.1.22.4)	proper	proper	
Mitochondrial chaperone bcs1 protein	proper	proper	
Mu-like prophage FluMu protein	proper	uninformative	
Translational regulator CsrA 3 (Carbon storage regulator 3)	proper	proper	
tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase)	proper	proper	
Holliday junction resolvase RecU (EC 3.1.21.10) (Recombination protein U homolog)	proper	proper	
Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	proper	proper	
Putative exonuclease containing RNaseH-like domain	proper	proper	
Molybdenum cofactor carrier protein	proper	proper	
Related to BCS1-Mitochondrial protein of the AAA family of ATPases	proper	proper	
Uncharacterized protein R97	uninformative	uninformative	
3-5 exonuclease (DNA polymerase III polC-type)	proper	proper	
Phosphoribosyltransferase	proper	proper	
DUF4105 domain-containing protein	low informative	low	
Bacteriophage capsid protein	proper	proper	
Site-specific DNA-methyltransferase (cytosine-N(4)-specific)	proper	proper	
Predicted DNA-binding transcriptional regulator	proper	proper	
Type II secretory pathway pseudopilin PulG	proper	proper	
Galectin	proper	proper	
Putative conserved protein	uninformative	uninformative	
ApeA N-terminal domain-containing protein	proper	proper	
Putative effector protein	proper	proper	
N-acetyltransferase	proper	proper	
Pre-mRNA-splicing helicase BRR2 (EC 3.6.4.13) (Protein Snu246)	proper	proper	
Apt protein	proper	proper	
Putative stress response protein, TerZ-and CABP1	proper	proper	
CD-NTase-associated protein 12/Pycsar effector protein TIR domain-containing protein	proper	proper	
Dna replication factor c subunit	proper	proper	
Flotillin family inner membrane protein sll1021	proper	proper	
LysR family cyn operon transcriptional activator	proper	proper	
